27,493,69,493,69,502,27,501,text
27,481,64,481,64,489,27,489,text
133,482,229,481,229,492,133,492,text
141,496,221,495,221,506,141,506,text
289,480,342,481,342,492,289,491,text
288,493,329,493,329,501,288,502,text
423,496,503,496,503,507,423,505,text
414,481,511,481,510,490,414,490,text
23,446,119,447,119,458,23,458,text
28,420,87,419,88,430,28,430,text
22,404,758,404,757,416,23,415,text
22,318,42,318,42,326,22,325,text
23,306,68,306,68,314,22,314,text
169,312,363,312,363,323,169,323,text
169,300,365,300,365,312,168,312,text
171,274,259,274,259,286,171,286,text
22,285,61,285,61,293,22,293,text
23,273,70,273,70,283,23,283,text
23,252,51,252,52,260,23,260,text
23,239,132,239,132,250,22,249,text
166,236,186,236,187,246,166,246,text
23,216,51,217,51,226,22,225,text
23,205,79,205,80,214,23,214,text
165,204,213,204,213,212,165,212,text
23,183,60,184,60,192,22,193,text
23,171,57,172,57,181,23,181,text
23,150,79,149,78,158,23,159,text
23,138,137,138,137,149,22,148,text
23,117,60,117,60,126,23,126,text
23,105,82,105,81,115,23,115,text
165,103,219,104,219,114,165,114,###
162,137,225,138,225,147,162,146,###
166,168,243,169,243,178,165,178,###
37,73,69,73,69,83,36,84,text
105,73,137,73,137,83,105,83,text
174,73,206,73,206,83,173,83,text
243,73,275,73,275,84,243,84,text
312,73,344,73,344,84,312,83,text
381,72,413,73,413,83,381,83,text
450,73,483,73,482,83,450,83,text
518,72,550,72,550,83,518,84,text
587,73,619,72,619,84,587,84,text
656,73,688,73,689,83,655,83,text
725,73,757,73,757,83,725,83,text
479,49,765,48,765,60,479,59,text
403,19,603,19,604,46,403,45,text
611,30,755,31,755,46,611,46,text
20,20,108,20,108,46,20,46,text
119,32,180,33,179,52,118,52,text
399,284,608,284,609,296,398,296,text
398,265,421,264,421,273,398,274,text
399,252,455,252,455,261,399,261,text
399,235,422,235,421,244,398,244,text
399,222,460,223,460,233,399,233,text
400,204,440,205,440,214,399,214,text
399,192,498,193,498,202,399,202,text
399,176,439,176,440,185,398,184,text
399,163,487,164,487,172,399,173,text
398,145,430,145,430,155,398,154,text
399,133,509,134,510,143,399,143,text
399,116,440,117,439,125,398,125,text
399,104,492,105,493,114,399,113,text
636,110,640,110,639,118,636,118,text
635,136,641,136,641,145,635,144,text
636,166,640,166,640,174,636,174,text
635,194,642,195,641,203,635,203,text
607,227,674,227,674,236,607,235,text
