36,37,187,36,186,71,36,70,text
35,1,162,1,161,17,34,16,text
225,72,223,59,603,60,602,70,###
680,7,737,7,737,26,681,27,text
59,137,59,123,144,124,145,135,###
59,101,125,102,125,112,59,112,text
59,150,181,151,181,161,58,160,text
60,182,60,171,141,170,141,182,###
59,198,92,199,92,208,59,208,text
59,232,59,220,132,220,132,233,###
59,250,148,249,147,259,59,261,text
58,268,103,268,104,282,59,281,text
124,267,173,267,173,279,124,279,text
61,317,60,302,165,302,166,316,text
59,325,169,325,170,338,59,337,text
185,326,299,327,299,337,185,337,text
315,325,555,326,555,337,315,337,text
266,402,291,402,291,414,266,414,text
295,397,354,398,353,413,295,414,text
267,420,340,420,340,432,268,432,text
180,416,236,416,236,423,179,422,text
180,400,230,400,230,414,180,413,text
59,372,172,372,171,382,59,383,text
58,403,83,402,83,413,58,414,text
87,397,147,396,147,413,86,413,text
59,431,59,420,122,420,122,431,text
59,457,91,457,91,468,58,468,text
59,477,70,477,70,492,59,492,text
74,480,215,481,215,493,73,494,text
