439,22,541,22,541,35,439,35,text
408,85,423,85,423,96,408,96,text
428,85,460,85,460,95,428,95,text
465,85,522,85,522,97,465,97,text
481,120,533,120,533,130,481,130,text
408,119,440,119,440,129,408,129,text
444,119,476,119,476,129,444,129,text
449,153,481,153,481,164,449,164,text
407,153,443,153,443,164,407,164,text
3,86,58,86,58,96,3,96,text
64,85,95,85,95,96,64,96,text
3,120,45,120,45,129,3,129,text
3,153,18,153,18,163,3,163,text
24,154,84,154,84,163,24,163,text
90,154,107,154,107,163,90,163,text
3,221,62,221,62,231,3,231,text
67,221,127,221,127,231,67,231,text
132,221,149,221,149,231,132,231,text
3,290,62,290,62,299,3,299,text
67,290,116,290,116,300,67,300,text
121,289,149,289,149,300,121,300,text
63,323,132,323,132,333,63,333,text
3,324,58,324,58,333,3,333,text
3,357,31,357,31,367,3,367,text
407,221,441,221,441,231,407,231,text
447,222,465,222,465,231,447,231,text
469,221,515,221,515,231,469,231,text
521,221,604,221,604,231,521,231,text
609,221,672,221,672,231,609,231,text
407,290,439,290,439,299,407,299,text
444,290,485,290,485,299,444,299,text
408,357,438,357,438,367,408,367,text
8,433,110,433,110,446,8,446,text
134,433,191,433,191,445,134,445,text
222,433,272,433,272,445,222,445,text
306,433,347,433,347,444,306,444,text
382,433,423,433,423,444,382,444,text
453,434,527,434,527,444,453,444,text
555,433,615,433,615,444,555,444,text
645,434,707,434,707,444,645,444,text
735,433,793,433,793,445,735,445,text
824,447,882,447,882,459,824,459,text
913,447,964,447,964,458,913,458,text
853,419,936,419,936,430,853,430,text
40,478,79,478,79,489,40,489,text
18,504,99,504,99,514,18,514,text
38,530,80,530,80,542,38,542,text
15,558,104,558,104,568,15,568,text
38,584,80,584,80,596,38,596,text
3,618,37,618,37,627,3,627,text
41,617,142,617,142,627,41,627,text
138,505,185,505,185,514,138,514,text
311,504,344,504,344,514,311,514,text
388,504,417,504,417,515,388,515,text
475,505,505,505,505,514,475,514,text
549,504,621,504,621,514,549,514,text
668,504,685,504,685,514,668,514,text
