225,39,331,39,331,55,225,55,text
81,35,145,35,145,66,81,66,text
40,85,72,85,72,95,40,95,text
74,85,101,85,101,93,74,93,text
38,107,63,107,63,115,38,115,text
69,107,116,107,116,116,69,116,text
123,108,176,108,176,115,123,115,text
117,120,170,120,170,129,117,129,text
38,120,111,120,111,129,38,129,text
38,134,67,134,67,141,38,141,text
72,133,130,133,130,142,72,142,text
137,134,206,134,206,141,137,141,text
38,151,72,151,72,158,38,158,text
77,150,180,150,180,159,77,159,text
187,151,210,151,210,158,187,158,text
216,151,251,151,251,158,216,158,text
37,160,77,160,77,167,37,167,text
40,187,62,187,62,197,40,197,text
64,187,91,187,91,194,64,194,text
291,121,314,121,314,128,291,128,text
319,120,386,120,386,129,319,129,text
393,121,419,121,419,128,393,128,text
422,120,442,120,442,128,422,128,text
378,134,408,134,408,141,378,141,text
308,133,372,133,372,142,308,142,text
289,134,303,134,303,141,289,141,text
290,147,318,147,318,155,290,155,text
323,147,397,147,397,156,323,156,text
403,148,448,148,448,155,403,155,text
53,217,73,217,73,224,53,224,text
54,227,72,227,72,236,54,236,text
96,216,130,216,130,224,96,224,text
106,228,120,228,120,235,106,235,text
92,238,132,238,132,247,92,247,text
93,249,132,249,132,258,93,258,text
149,217,178,217,178,224,149,224,text
149,226,178,226,178,237,149,237,text
204,216,273,216,273,226,204,226,text
217,227,260,227,260,236,217,236,text
201,238,276,238,276,247,201,247,text
309,217,369,217,369,226,309,226,text
317,227,361,227,361,236,317,236,text
302,238,376,238,376,247,302,247,text
40,265,85,265,85,272,40,272,text
98,264,128,264,128,272,98,272,text
148,264,178,264,178,272,148,272,text
206,264,271,264,271,274,206,274,text
226,276,251,276,251,283,226,283,text
207,287,246,287,246,294,207,294,text
251,287,256,287,256,294,251,294,text
261,286,271,286,271,294,261,294,text
204,298,232,298,232,305,204,305,text
238,298,273,298,273,305,238,305,text
310,265,369,265,369,274,310,274,text
327,276,352,276,352,283,327,283,text
307,287,346,287,346,294,307,294,text
352,287,356,287,356,294,352,294,text
361,286,371,286,371,294,361,294,text
319,298,359,298,359,305,319,305,text
309,310,371,310,371,317,309,317,text
321,321,357,321,357,328,321,328,text
43,446,82,446,82,453,43,453,text
98,446,127,446,127,453,98,453,text
148,445,178,445,178,453,148,453,text
209,445,268,445,268,455,209,455,text
226,457,251,457,251,464,226,464,text
207,468,246,468,246,475,207,475,text
251,468,256,468,256,475,251,475,text
261,467,271,467,271,475,261,475,text
219,479,258,479,258,486,219,486,text
208,490,271,490,271,497,208,497,text
221,501,256,501,256,508,221,508,text
307,446,371,446,371,455,307,455,text
319,457,344,457,344,464,319,464,text
349,457,357,457,357,464,349,464,text
308,468,346,468,346,475,308,475,text
352,468,356,468,356,475,352,475,text
362,467,371,467,371,475,362,475,text
304,479,333,479,333,486,304,486,text
338,479,374,479,374,486,338,486,text
40,636,76,636,76,645,40,645,text
77,636,104,636,104,644,77,644,text
37,658,96,658,96,667,37,667,text
102,658,146,658,146,667,102,667,text
87,672,136,672,136,680,87,680,text
37,671,80,671,80,680,37,680,text
38,684,111,684,111,693,38,693,text
117,684,166,684,166,692,117,692,text
40,716,65,716,65,724,40,724,text
402,217,427,217,427,224,402,224,text
394,227,435,227,435,236,394,236,text
397,265,432,265,432,273,397,273,text
400,275,429,275,429,284,400,284,text
450,217,480,217,480,224,450,224,text
455,227,474,227,474,236,455,236,text
498,217,532,217,532,226,498,226,text
500,226,530,226,530,236,500,236,text
460,265,470,265,470,272,460,272,text
498,264,532,264,532,272,498,272,text
493,276,536,276,536,285,493,285,text
496,287,535,287,535,295,496,295,text
493,298,512,298,512,305,493,305,text
518,298,537,298,537,305,518,305,text
505,309,525,309,525,317,505,317,text
495,320,535,320,535,329,495,329,text
501,331,530,331,530,340,501,340,text
497,342,532,342,532,351,497,351,text
503,365,527,365,527,372,503,372,text
496,376,533,376,533,385,496,385,text
497,387,508,387,508,394,497,394,text
513,387,532,387,532,394,513,394,text
496,398,515,398,515,405,496,405,text
520,398,535,398,535,405,520,405,text
496,407,535,407,535,417,496,417,text
501,418,530,418,530,428,501,428,text
502,430,530,430,530,439,502,439,text
498,445,532,445,532,453,498,453,text
493,457,536,457,536,466,493,466,text
496,468,535,468,535,476,496,476,text
493,479,513,479,513,486,493,486,text
518,479,537,479,537,486,518,486,text
505,490,525,490,525,497,505,497,text
496,500,535,500,535,509,496,509,text
500,511,530,511,530,520,500,520,text
498,522,532,522,532,531,498,531,text
503,545,527,545,527,552,503,552,text
495,556,533,556,533,565,495,565,text
498,567,508,567,508,574,498,574,text
513,567,532,567,532,574,513,574,text
496,578,515,578,515,585,496,585,text
520,578,535,578,535,585,520,585,text
496,587,535,587,535,598,496,598,text
500,599,530,599,530,608,500,608,text
502,611,530,611,530,620,502,620,text
459,445,470,445,470,453,459,453,text
400,455,430,455,430,466,400,466,text
396,445,432,445,432,455,396,455,text
